datetime,open,high,low,close,% change
2024-08-01,230.06,230.62,221.59,224.09,-2.594975223854646
2024-07-31,234.21,236.8,227.99,231.88,-0.9948336962555026
2024-07-30,244.02,245.19,226.16,234.31,-3.97918203425949
2024-07-29,258.99,265.29,258.27,258.79,-0.07722305880535488
2024-07-26,257.23,258.25,251.07,255.02,-0.8591532869416506
2024-07-25,256.72,262.41,250.08,254.04,-1.0439389217825004
2024-07-24,268.08,271.69,258.06,258.06,-3.7376902417188838
2024-07-23,260.98,276.79,258.64,269.24,3.1649934860908844
2024-07-22,279.4,281.01,261.55,264.06,-5.490336435218317
2024-07-19,298.54,316.59,293.93,304.6,2.02987874321699
2024-07-18,348.79,349.92,335.92,342.42,-1.8263138278046975
2024-07-17,358.71,363.31,350.45,355.66,-0.8502690195422359
2024-07-16,376.48,377.69,368.51,369.11,-1.9576073098172557
2024-07-15,364.04,383.28,364.01,376.04,3.296341061421822
2024-07-12,369.48,374.1,367.53,370.57,0.29500920212189424
2024-07-11,378.2,379.52,367.65,370.19,-2.117927022739289
2024-07-10,377.38,381.37,365.51,374.31,-0.8135036302930715
2024-07-09,396.07,396.35,383.2,385.55,-2.656096144620896
2024-07-08,390.09,390.09,379.41,389.59,-0.12817554923222846
2024-07-05,387.21,391.38,386.83,389.76,0.6585573719687021
2024-07-03,385.22,389.89,380.22,384.2,-0.264783759929401
2024-07-02,385.56,386.37,381.31,384.97,-0.15302417263200926
2024-07-01,380.19,391.79,377.2,391.62,3.0063915410715714
2024-06-28,387.65,392.66,382.11,383.19,-1.1505223784341494
2024-06-27,382.68,391.34,381.97,385.65,0.7761053621824946
2024-06-26,383.65,387.29,379.72,380.15,-0.9122898475172683
2024-06-25,379.99,387.74,378.39,385.24,1.3816153056659386
2024-06-24,380.83,381.62,377.22,379.18,-0.433264186119785
2024-06-21,379.28,379.97,370.15,379.88,0.15819447373972337
2024-06-20,387.12,391.44,378.88,382.91,-1.0875180822483932
2024-06-18,389.57,393.01,386.45,390.8,0.3157327309597808
2024-06-17,378.18,394.48,376.14,392.14,3.6913639007879793
2024-06-14,383.38,388.06,381.13,385.86,0.6468777714017471
2024-06-13,389.3,389.66,380.99,383.31,-1.538659131774983
2024-06-12,384.51,389.53,378.75,387.2,0.699591688122545
2024-06-11,372.04,384.63,369.95,384.5,3.3491022470702023
2024-06-10,381.61,384.81,370.54,375.06,-1.7164120437095494
2024-06-07,342.68,349.82,336.95,348.7,1.7567409828411293
2024-06-06,341.89,349.18,335.81,341.03,-0.25154289391325096
2024-06-05,334.86,342.48,316.13,342.22,2.1979334647315336
2024-06-04,309.19,311.95,303.45,305.94,-1.051133607167114
2024-06-03,314.34,316.78,305.06,307.95,-2.0328306928803164
2024-05-31,322.29,325.53,305.89,312.1,-3.1617487356107845
2024-05-30,341.16,342.41,313.91,315.23,-7.6005393363817575
2024-05-29,348.93,353.34,346.15,349.64,0.20347920786403564
2024-05-28,352.38,352.38,342.69,346.64,-1.6289233214143848
2024-05-24,343.84,355.66,343.67,351.55,2.2423220102373307
2024-05-23,346.99,349.59,341.18,342.55,-1.2795757802818517
2024-05-22,350.24,352.74,342.74,344.98,-1.5018273184102304
2024-05-21,342.95,351.5,342.95,349.59,1.9361422947951556
2024-05-20,346.92,349.36,344.63,348.18,0.36319612590798767
2024-05-17,339.33,346.14,339.33,345.42,1.7947131111307673
2024-05-16,342.85,343.53,339.31,339.65,-0.9333527781828921
2024-05-15,332.9,344.23,331.43,343.85,3.2892760588765535
2024-05-14,321.78,330.72,321.06,330.1,2.5856175026415724
2024-05-13,320.71,321.87,316.51,318.77,-0.6049078606841065
2024-05-10,322.74,327.08,318.28,320.69,-0.6351862180083074
2024-05-09,309.54,318.15,308.85,317.58,2.5974025974025854
2024-05-08,309.08,319.16,307.94,313.45,1.4138734308269718
2024-05-07,319.8,321.06,311.37,314.68,-1.6010006253908706
2024-05-06,305.38,317.81,304.43,317.6,4.001571812168455
2024-05-03,300.81,311.27,299.64,310.6,3.25454605897411
2024-05-02,302.92,307.68,297.62,302.81,-0.036313218011360636
2024-05-01,289.51,302.15,288.51,295.08,1.9239404511070406
2024-04-30,301.54,302.31,292.75,292.76,-2.9117198381641005
2024-04-29,310.83,311.36,301.64,303.64,-2.313161535244345
2024-04-26,298.88,305.42,298.85,304.08,1.739828693790146
2024-04-25,289.51,299.65,288.41,297.2,2.6562122206486816
2024-04-24,302.43,304.54,294.53,298.09,-1.4350428198260858
2024-04-23,293.45,302.66,291.59,300.43,2.378599420684961
2024-04-22,285.11,291.24,280.93,288.23,1.0943144751148695
2024-04-19,290.05,292.25,280.72,281.85,-2.827098776073087
2024-04-18,292.41,297.21,289.88,292.8,0.13337437160151375
2024-04-17,299.61,301.64,291.26,293.48,-2.0459931243950455
2024-04-16,300.55,301.45,296.37,298.62,-0.6421560472467166
2024-04-15,307.98,311.97,297.89,298.66,-3.0261705305539297
2024-04-12,313.75,313.87,306.83,307.86,-1.8772908366533823
2024-04-11,313.38,317.55,310.07,317.22,1.2253494160444292
2024-04-10,309.6,314.86,308.21,312.32,0.8785529715762177
2024-04-09,313.33,315.18,308.42,310.0,-1.0627772635879056
2024-04-08,313.46,314.26,308.9,313.66,0.06380399413004705
2024-04-05,309.74,317.3,308.88,315.35,1.8111964873765138
2024-04-04,322.97,325.66,309.23,310.04,-4.003467814348084
2024-04-03,317.15,323.33,315.02,319.44,0.7220558095538454
2024-04-02,312.1,319.26,310.78,319.15,2.258891380967624
2024-04-01,317.17,320.34,315.6,319.5,0.7346218116467459
2024-03-28,321.91,327.29,319.7,320.79,-0.34792333260849445
2024-03-27,329.87,330.41,317.0,322.43,-2.2554339588322665
2024-03-26,327.14,332.34,323.5,329.71,0.7855963807544151
2024-03-25,324.46,328.89,320.63,324.87,0.12636380447513562
2024-03-22,325.28,327.41,319.2,327.2,0.5902606984751648
2024-03-21,323.04,332.98,323.04,329.17,1.8975978207033168
2024-03-20,319.93,328.19,319.93,326.56,2.0723283218203967
2024-03-19,316.24,320.74,310.12,320.74,1.4229698962813053
2024-03-18,318.41,322.19,315.63,320.5,0.6563864200244889
2024-03-15,321.22,323.32,315.71,316.11,-1.590810036734952
2024-03-14,335.09,337.57,324.91,328.16,-2.0681011071652247
2024-03-13,326.89,334.68,325.37,331.54,1.4224968643886429
2024-03-12,319.497,333.668,316.889,328.777,2.904565614074615
2024-03-11,319.354,322.802,315.163,316.898,-0.7690525247843961
2024-03-08,329.249,341.487,322.353,323.174,-1.8451081096677726
2024-03-07,329.196,331.531,314.989,330.042,0.2569897568621571
2024-03-06,356.889,357.415,323.847,327.394,-8.264474388395273
2024-03-05,302.145,302.145,289.798,297.499,-1.5376723096526366
2024-03-04,315.502,316.558,312.876,314.323,-0.3736901826295968
2024-03-01,314.47,315.864,308.276,314.418,-0.016535758577931412
2024-02-29,325.972,328.502,320.956,324.473,-0.45985544770715486
2024-02-28,315.558,321.51,314.525,320.57,1.588297555441472
2024-02-27,324.244,328.858,320.605,320.988,-1.004182035750863
2024-02-26,310.006,323.247,309.295,321.465,3.6963800700631615
2024-02-23,313.753,316.738,309.187,312.036,-0.5472457633871182
2024-02-22,301.349,313.45,299.041,311.278,3.2948508208091054
2024-02-21,289.219,294.253,281.303,292.499,1.1340887009498095
2024-02-20,324.362,325.849,314.897,322.953,-0.4343912048883804
2024-02-16,330.077,332.006,324.946,328.956,-0.3396177255609997
2024-02-15,334.039,334.909,327.119,331.409,-0.7873332155826103
2024-02-14,329.155,334.278,326.55,334.008,1.4743813704789566
2024-02-13,312.338,326.159,311.704,321.66,2.9845872100096695
2024-02-12,329.418,329.495,320.052,321.438,-2.4224541464036626
2024-02-09,327.597,336.769,327.218,329.518,0.5863912062686754
2024-02-08,315.737,323.838,313.716,322.535,2.1530577664321893
2024-02-07,311.942,320.35,308.644,317.957,1.9282430708272649
2024-02-06,303.768,307.387,295.175,302.027,-0.5731347607384535
2024-02-05,303.508,304.844,295.42,302.775,-0.2415092847635002
2024-02-02,300.936,304.992,298.76,304.356,1.1364542627003802
2024-02-01,296.208,299.827,293.942,298.125,0.6471803597471956
2024-01-31,297.088,298.778,290.709,292.079,-1.686032421370104
2024-01-30,300.198,302.378,297.826,300.807,0.20286610836848926
2024-01-29,297.163,299.859,294.558,299.668,0.8429717023990184
2024-01-26,289.956,293.48,289.039,290.274,0.10967181227496021
2024-01-25,302.481,302.765,290.37,293.285,-3.040190954142564
2024-01-24,299.936,307.38,298.424,299.848,-0.02933959244637704
2024-01-23,293.025,297.388,291.544,297.368,1.4821260984557694
2024-01-22,296.049,300.248,294.764,298.64,0.8751929579225088
2024-01-19,286.222,290.825,283.782,290.169,1.3789995178567696
2024-01-18,282.175,284.268,279.101,283.277,0.39053778683440254
2024-01-17,279.977,280.12,272.406,275.826,-1.4826217867896128
2024-01-16,279.006,287.116,278.993,286.294,2.6121302050851996
2024-01-12,285.547,289.849,281.978,283.61,-0.6783471722693678
2024-01-11,284.689,287.389,280.239,284.209,-0.16860503918311498
2024-01-10,275.732,282.252,274.891,281.47,2.081006194420669
2024-01-09,269.402,276.44,266.417,273.501,1.5215180288193815
2024-01-08,253.02,261.576,252.51,261.053,3.174847838115559
2024-01-05,246.938,249.377,244.156,247.767,0.33571179810317076
2024-01-04,243.688,247.494,243.688,245.442,0.7197728242671034
2024-01-03,243.286,248.624,242.381,243.688,0.1652376215647373
2024-01-02,248.618,250.883,242.988,245.535,-1.2400550241736312
2023-12-29,255.891,257.003,251.69,254.954,-0.36617153397344315
2023-12-28,254.802,257.199,254.787,255.659,0.3363395891711993
2023-12-27,257.462,258.562,255.142,257.289,-0.06719438208357033
2023-12-26,255.332,258.143,254.946,257.933,1.0186737267557529
2023-12-22,256.024,256.683,253.359,255.589,-0.1699059463175336
2023-12-21,250.899,257.622,250.778,257.509,2.6345262436279193
2023-12-20,255.168,259.491,253.133,254.203,-0.37818221720592055
2023-12-19,259.327,260.488,256.186,258.27,-0.40759350164079183
2023-12-18,258.374,261.51,257.194,259.529,0.4470264035854895
2023-12-15,254.796,260.562,254.152,260.004,2.0439881316818265
2023-12-14,256.43,257.136,247.802,252.303,-1.6094060757321722
2023-12-13,249.533,253.073,247.065,251.857,0.9313397426392551
2023-12-12,243.718,250.214,243.028,248.645,2.0215987329618743
2023-12-11,244.294,249.115,243.456,247.027,1.1187339844613358
2023-12-08,239.08,243.415,237.351,242.472,1.4187719591768428
2023-12-07,237.714,240.657,233.819,240.017,0.9688112605904563
2023-12-06,238.972,244.488,237.911,239.495,0.21885409169274897
2023-12-05,234.653,238.839,234.025,238.529,1.651800744077427
2023-12-04,234.184,237.75,230.864,237.088,1.2400505585351673
2023-12-01,234.817,235.987,229.562,234.857,0.017034541792115578
2023-11-30,236.087,238.308,230.086,237.188,0.4663535052755972
2023-11-29,222.945,235.555,220.0,233.64,4.797147278476752
2023-11-28,209.007,214.554,206.846,212.534,1.6875032893635078
2023-11-27,208.491,213.007,207.334,210.272,0.8542335160750236
2023-11-24,211.464,212.463,209.762,210.537,-0.43837248893428316
2023-11-22,208.546,210.592,206.45,209.712,0.5591092612660981
2023-11-21,206.74,209.227,205.75,209.217,1.1981232465899214
2023-11-20,207.282,208.945,205.963,207.912,0.30393377138390953
2023-11-17,204.013,207.732,203.268,206.713,1.323445074578575
2023-11-16,202.337,206.849,200.683,204.348,0.9938864369838558
2023-11-15,209.126,209.866,202.365,204.285,-2.3148723735929573
2023-11-14,205.278,208.959,204.047,208.022,1.3367238574031315
2023-11-13,199.632,201.442,196.901,200.972,0.6712350725334633
2023-11-10,191.899,196.813,191.899,196.132,2.20584786788884
2023-11-09,190.879,192.817,188.992,190.728,-0.07910770697666168
2023-11-08,194.221,194.571,190.998,193.547,-0.34702735543530644
2023-11-07,189.333,194.613,189.097,192.025,1.4218334891434707
2023-11-06,188.126,188.188,183.467,186.782,-0.7144148070973678
2023-11-03,178.999,188.622,177.967,187.985,5.020139777317202
2023-11-02,182.332,184.544,179.565,182.813,0.26380448851545235
2023-11-01,178.458,178.994,174.614,177.988,-0.26336729090318106
2023-10-31,173.835,177.491,172.253,176.351,1.4473494980872617
2023-10-30,173.975,175.622,171.519,174.52,0.3132633999137899
2023-10-27,171.725,174.239,170.967,172.662,0.5456398311253526
